Timestamp,Redemption Count,Sales Count,Date,Year,Month,Hour,Minute,Day_of_Week_Num,Day_of_Week,Is_Weekend,Is_Off_Season,Net_Queue_Change
2015-05-08 08:00:00,0,5,2015-05-08,2015,5,8,0,4,Friday,0,0,5
2015-05-08 08:30:00,0,8,2015-05-08,2015,5,8,30,4,Friday,0,0,8
2015-05-08 08:45:00,13,5,2015-05-08,2015,5,8,45,4,Friday,0,0,-8
2015-05-08 09:00:00,11,13,2015-05-08,2015,5,9,0,4,Friday,0,0,2
2015-05-08 09:15:00,1,5,2015-05-08,2015,5,9,15,4,Friday,0,0,4
2015-05-08 09:30:00,5,24,2015-05-08,2015,5,9,30,4,Friday,0,0,19
2015-05-08 09:45:00,0,64,2015-05-08,2015,5,9,45,4,Friday,0,0,64
2015-05-08 10:00:00,69,38,2015-05-08,2015,5,10,0,4,Friday,0,0,-31
2015-05-08 10:15:00,9,53,2015-05-08,2015,5,10,15,4,Friday,0,0,44
2015-05-08 10:30:00,0,83,2015-05-08,2015,5,10,30,4,Friday,0,0,83
2015-05-08 10:45:00,48,49,2015-05-08,2015,5,10,45,4,Friday,0,0,1
2015-05-08 11:00:00,0,82,2015-05-08,2015,5,11,0,4,Friday,0,0,82
2015-05-08 11:15:00,162,117,2015-05-08,2015,5,11,15,4,Friday,0,0,-45
2015-05-08 11:30:00,4,80,2015-05-08,2015,5,11,30,4,Friday,0,0,76
2015-05-08 11:45:00,45,90,2015-05-08,2015,5,11,45,4,Friday,0,0,45
2015-05-08 12:00:00,176,68,2015-05-08,2015,5,12,0,4,Friday,0,0,-108
2015-05-08 12:15:00,0,101,2015-05-08,2015,5,12,15,4,Friday,0,0,101
2015-05-08 12:30:00,0,107,2015-05-08,2015,5,12,30,4,Friday,0,0,107
2015-05-08 12:45:00,2,85,2015-05-08,2015,5,12,45,4,Friday,0,0,83
2015-05-08 13:00:00,105,130,2015-05-08,2015,5,13,0,4,Friday,0,0,25
2015-05-08 13:15:00,82,117,2015-05-08,2015,5,13,15,4,Friday,0,0,35
2015-05-08 13:30:00,246,123,2015-05-08,2015,5,13,30,4,Friday,0,0,-123
2015-05-08 13:45:00,0,167,2015-05-08,2015,5,13,45,4,Friday,0,0,167
2015-05-08 14:00:00,195,84,2015-05-08,2015,5,14,0,4,Friday,0,0,-111
2015-05-08 14:15:00,60,80,2015-05-08,2015,5,14,15,4,Friday,0,0,20
